input_name,matched_name,match_score,is_match
Acorn Law P.C.,Acorn Law P.C.,7.037,True
Advance Net Support,Advance Network Support,4.517,True
Aroostook,Kairios,2.8,False
&AWL,Awl Snap Leather Goods,3.394,False
RyanLBatesDDS,Ergoactives,3.201,False
Cadott Family Restaurant Limited,Cadott Family Restaurant,3.992,True
Denham's Florist Inc,Denham's Florist,4.794,True
Garrett-Wietholter-State-Farm-Agent,Garrett Wietholter,4.522,True
GSS,FIglass,2.4,False
Hueboost Services //,Hue Boost,3.236,False
American Inns of Court Company,1st American Mortgage Corporation,4.501,False
JETT Business Technology LTD,TIANJIN CONSTRUCTION TECHNOLOGY CO. LTD.,4.122,False
NCCA Inc.,Clock Inc.,3.704,False
NY AL Elevator,NY NJ Elevator Corp.,4.838,False
NY Staffing LLC.,Pro-Exec Staffing LLC.,5.643,False
Puppet Heap USA,Puppet Heap,5.876,True
SafetyChain Software Services Pty. Ltd.,SafetyChain Software,5.876,True
SBS*,SBS Transport,3.567,False
SteppIR Tree Services,SteppIR Communication Systems,5.052,True
Templo Ebenezer Weslaco Holding,TEMPLO EBENEZER WESLACO,3.407,True
The Greenwich Cincinnati,The Greenwich,2.811,True
Inc. Mercury,Bluemercury,2.884,False
Total Seal Inc.,Total Seal Piston Rings,4.238,True
True Audio Services,True Audio,4.759,True
ViruStar LLC.,ViruStar LLC.,6.601,True
W. Works Holding(s),Wombat Works,3.808,False
Forge Marketing & Management Pty.,Work It! Studio by WandaWoman,3.654,False
A W Brueggemann Co.,A W Brueggemann Co.,6.854,True
Blue Ridge Chair - Limited,Blue Ridge Chair,6.407,True
Cedar Work Inc.,Cedar Work,4.6,True
Inc.,Cleaning Co.,3.0,False
..,SteppIR Communication Systems,2.357,False
